DISTRITO,SUPERFICIE(km2),TOTAL,HOMBRES,MUJERES,IND.MASCULINIDAD,DENSIDAD POBLACION (km2),,
1501  LIMA 2/,2672.28 ,6723130 ,3304948 ,3418182 ,96.7 ,2516 ,,
150101  LIMA,21.98 ,278804 ,136502 ,142302 ,95.9 ,12684 ,,
150102  ANCON,298.64 ,23844 ,14062 ,9782 ,143.8 ,80 ,,
150103  ATE,77.72 ,400117 ,198709 ,201408 ,98.7 ,5148 ,,
150104  BARRANCO,3.33 ,40243 ,18772 ,21471 ,87.4 ,12085 ,,
150105  BREÑA,3.22 ,87474 ,41028 ,46446 ,88.3 ,27166 ,,
150106  CARABAYLLO,346.88 ,149154 ,73654 ,75500 ,97.6 ,430 ,,
150107  CHACLACAYO,39.50 ,41823 ,20572 ,21251 ,96.8 ,1059 ,,
150108  CHORRILLOS,38.94 ,257804 ,130842 ,126962 ,103.1 ,6621 ,,
150109  CIENEGUILLA,240.33 ,12428 ,6442 ,5986 ,107.6 ,52 ,,
150110  COMAS,48.75 ,457605 ,227205 ,230400 ,98.6 ,9387 ,,
150111  EL AGUSTINO,12.54 ,162588 ,82723 ,79865 ,103.6 ,12966 ,,
150112  INDEPENDENCIA,14.56 ,195186 ,96698 ,98488 ,98.2 ,13406 ,,
150113  JESUS MARIA,4.57 ,58692 ,26515 ,32177 ,82.4 ,12843 ,,
150114  LA MOLINA,65.75 ,121802 ,57249 ,64553 ,88.7 ,1853 ,,
150115  LA VICTORIA,8.74 ,200241 ,97737 ,102504 ,95.3 ,22911 ,,
150116  LINCE,3.03 ,55805 ,25385 ,30420 ,83.4 ,18417 ,,
150117  LOS OLIVOS,18.25 ,335268 ,164440 ,170828 ,96.3 ,18371 ,,
150118  LURIGANCHO,236.47 ,119959 ,60030 ,59929 ,100.2 ,507 ,,
150119  LURIN,180.26 ,46784 ,23591 ,23193 ,101.7 ,260 ,,
150120  MAGDALENA DEL MAR,3.61 ,45003 ,20387 ,24616 ,82.8 ,12466 ,,
150121  MAGDALENA VIEJA,4.38 ,64283 ,28884 ,35399 ,81.6 ,14676 ,,
150122  MIRAFLORES,9.62 ,85284 ,37611 ,47673 ,78.9 ,8865 ,,
150123  PACHACAMAC,160.23 ,33489 ,17258 ,16231 ,106.3 ,209 ,,
150124  PUCUSANA   ,37.39 ,4243 ,2254 ,1989 ,113.3 ,113 ,,
150125  PUENTE PIEDRA,71.18 ,179109 ,91805 ,87304 ,105.2 ,2516 ,,
150126  PUNTA HERMOSA,119.50 ,5695 ,3014 ,2681 ,112.4 ,48 ,,
150127  PUNTA NEGRA,130.50 ,4659 ,2290 ,2369 ,96.7 ,36 ,,
150128  RIMAC,11.87 ,187475 ,93538 ,93937 ,99.6 ,15794 ,,
150129  SAN BARTOLO,45.01 ,3577 ,1625 ,1952 ,83.2 ,79 ,,
150130  SAN BORJA,9.96 ,119110 ,55854 ,63256 ,88.3 ,11959 ,,
150131  SAN ISIDRO,11.10 ,58585 ,25324 ,33261 ,76.1 ,5278 ,,
150132  SAN JUAN DE LURIGANCHO,131.25 ,731739 ,367037 ,364702 ,100.6 ,5575 ,,
150133  SAN JUAN DE MIRAFLORES,23.98 ,377621 ,187421 ,190200 ,98.5 ,15747 ,,
150134  SAN LUIS,3.49 ,43297 ,21139 ,22158 ,95.4 ,12406 ,,
150135  SAN MARTIN DE PORRES,36.91 ,436756 ,213487 ,223269 ,95.6 ,11833 ,,
150136  SAN MIGUEL,10.72 ,131421 ,61304 ,70117 ,87.4 ,12259 ,,
150137  SANTA ANITA,10.69 ,144907 ,72364 ,72543 ,99.8 ,13555 ,,
150138  SANTA MARIA DEL MAR,9.81 ,242 ,129 ,113 ,114.2 ,25 ,,
150139  SANTA ROSA,21.50 ,5803 ,3072 ,2731 ,112.5 ,270 ,,
150140  SANTIAGO DE SURCO,34.75 ,245065 ,115422 ,129643 ,89.0 ,7052 ,,
150141  SURQUILLO,3.46 ,81959 ,39128 ,42831 ,91.4 ,23688 ,,
150142  VILLA EL SALVADOR,35.46 ,355055 ,176947 ,178108 ,99.3 ,10013 ,,
150143  VILLA MARIA DEL TRIUNFO,70.57 ,333132 ,165498 ,167634 ,98.7 ,4721 ,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
